,Target
638,0
642,0
644,0
646,0
649,0
650,0
651,1
652,0
654,0
659,0
660,0
662,0
663,0
664,0
667,1
668,0
670,0
680,0
682,0
683,0
684,0
685,0
687,0
688,0
689,0
691,0
692,0
693,0
694,0
695,0
699,0
700,0
701,0
703,0
708,0
717,0
719,0
720,0
721,1
722,0
723,1
724,0
725,0
726,0
728,0
729,0
730,0
732,0
733,0
734,0
735,0
736,0
738,0
741,0
744,0
748,1
749,0
751,0
755,1
756,0
758,0
760,0
762,0
763,0
766,0
767,0
768,0
770,0
771,0
777,0
781,0
784,1
785,0
786,0
788,0
789,0
792,0
797,0
799,0
800,0
801,0
802,0
805,0
806,0
807,0
809,0
810,0
813,0
815,0
816,0
818,0
821,0
823,0
824,0
825,0
827,0
828,1
832,0
834,0
835,0
837,0
839,0
847,0
848,0
850,0
853,0
855,0
856,0
858,0
865,0
867,0
869,0
877,0
879,0
880,0
882,0
887,0
889,0
890,0
892,0
895,0
896,0
898,0
902,0
908,0
909,0
910,0
911,0
920,0
922,0
923,0
927,0
930,0
931,0
933,0
934,0
935,1
936,0
937,0
938,1
942,0
945,0
946,0
947,0
948,0
949,0
951,0
952,0
953,0
955,0
957,0
958,0
959,0
961,0
963,0
964,0
966,0
967,0
968,0
972,0
975,0
982,0
992,0
996,0
1000,0
1003,0
1004,0
1005,0
1006,0
1007,1
1008,0
1011,0
1016,0
1018,0
1021,0
1022,0
1025,0
1030,0
1034,0
1036,0
1038,0
1039,0
1043,0
1047,0
1050,0
1058,1
1060,0
1061,0
1062,0
1064,0
1065,1
1066,0
1070,0
1078,0
1081,0
1085,0
1087,0
1091,0
1093,0
1095,0
1096,0
1097,0
1101,0
1102,0
1103,0
1104,0
1105,0
1111,0
1112,0
1113,0
1114,0
1116,0
1117,0
1120,0
1121,0
1122,0
1125,0
1127,0
1130,0
1132,0
1134,0
1137,0
1142,0
1144,0
1149,0
1150,0
1151,0
1152,0
1153,0
1155,0
1156,0
1157,0
1158,0
1161,0
1162,0
1163,0
1164,0
1167,0
1169,0
1170,0
1171,0
1172,0
1182,0
1183,0
1184,0
1185,0
1186,0
1188,0
1195,0
1196,1
1200,0
1204,0
1209,0
1210,0
1211,0
1214,0
1216,0
1217,0
1218,0
1223,0
1225,0
1229,0
1232,0
1233,0
1235,1
1236,1
1238,0
1239,0
1242,1
1244,0
1246,0
1247,0
1249,0
1250,0
1252,0
1253,0
1254,0
1255,0
1259,0
1262,0
1263,0
1264,0
1265,1
1268,0
1270,0
1271,0
1273,1
1274,0
1275,0
1281,0
1285,0
1286,0
1287,1
1288,0
1289,0
1290,0
1292,0
1296,0
1297,0
1299,0
1301,0
1304,0
1305,0
1307,0
1310,0
1312,0
1314,0
1316,0
1317,0
1318,0
1320,0
1326,0
1327,1
1330,0
1332,0
1335,1
1337,0
1338,0
1343,0
1345,0
1351,1
1352,0
1354,0
1355,0
1357,0
1361,0
1362,0
1363,0
1364,0
1366,0
1367,0
1369,0
1370,0
1371,1
1372,0
1373,0
1376,0
1380,0
1381,0
1383,0
1384,0
1385,1
1386,0
1388,0
1389,0
1390,0
1393,1
1394,1
1402,0
1406,1
1407,0
1410,0
1411,0
1412,0
1416,0
1417,0
1419,0
1421,0
1423,0
1424,0
1427,0
1430,0
1431,0
1432,0
1434,0
1435,0
1436,0
1437,0
1438,0
1442,0
1444,0
1447,0
1450,0
1451,1
1452,0
1453,0
1454,1
1455,0
1458,0
1459,0
1460,0
1461,0
1463,0
1464,0
1465,0
1466,0
1469,0
1471,0
1472,0
1473,0
1477,0
1479,0
1480,0
1481,0
1482,0
1483,0
1484,0
1486,1
1488,1
1489,0
1490,0
1492,0
1493,0
1496,0
1497,0
1499,0
1500,0
1503,0
1505,0
1506,0
1510,0
1512,0
1513,1
1516,0
1518,0
1519,0
1520,0
1521,0
1522,0
1523,0
1524,0
1525,0
1526,0
1527,1
1529,0
1531,0
1533,0
1534,0
1536,0
1537,1
1542,0
1543,0
1544,0
1545,1
1548,0
1550,0
1552,0
1555,0
1558,0
1561,0
1562,0
1563,0
1566,0
1568,0
1569,0
1572,0
1574,1
1575,0
1576,0
1577,0
1579,0
1580,0
1581,0
1582,0
1583,0
1586,0
1587,0
1589,0
1592,0
1593,0
1594,0
1598,0
1600,0
1601,0
1602,1
1606,0
1609,0
1610,0
1612,0
1613,0
1614,0
1617,0
1618,0
1619,0
1620,0
1621,0
1622,0
1623,1
1624,0
1625,0
1627,0
1628,0
1629,0
1630,1
1631,0
1632,0
1633,0
1634,0
1635,0
1642,0
1643,0
1644,0
1646,0
1648,0
1649,0
1652,1
1653,1
1654,0
1655,0
1656,0
1658,0
1659,0
1660,0
1663,0
1664,0
1666,0
1667,0
1668,0
1671,0
1672,0
1673,0
1677,0
1679,0
1681,0
1683,0
1684,0
1687,0
1688,0
1692,0
1693,0
1695,0
1696,0
1698,0
1702,0
1704,0
1707,0
1709,1
1713,0
1715,0
1716,0
1717,0
1720,0
1721,0
1722,0
1723,0
1724,0
1725,0
1726,0
1727,0
1730,0
1734,0
1736,0
1738,0
1739,0
1740,0
1742,0
1743,0
1744,0
1746,0
1747,0
1748,0
1749,0
1750,1
1754,0
1755,0
1757,1
1758,0
1760,0
1762,0
1763,0
1764,0
1769,0
1770,0
1771,0
1774,0
1776,0
1777,0
1781,0
1783,0
1785,0
1789,0
1792,0
1793,1
1794,0
1797,0
1798,0
1799,0
1801,0
1802,0
1803,0
1804,0
1807,0
1809,0
1812,0
1816,0
1819,0
1820,0
1824,0
1825,0
1827,0
1828,1
1829,0
1831,0
1832,0
1833,0
1836,0
1837,0
1839,1
1841,0
1843,0
1845,0
1846,0
1847,0
1851,0
1853,0
1854,0
1855,0
1857,0
1858,0
1859,0
1861,0
1868,0
1869,0
1871,0
1872,0
1873,0
1874,0
1878,0
1880,0
1882,0
1884,0
1885,0
1887,0
1889,0
1890,0
1891,0
1894,0
1898,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1910,0
1911,0
1913,0
1915,0
1916,0
1917,0
1918,0
1919,1
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1927,0
1929,0
1930,0
1931,0
1934,0
1935,0
1939,1
1942,0
1944,0
1946,0
1947,0
1948,0
1949,1
1951,0
1953,0
1954,0
1955,1
1957,0
1959,0
1965,0
1966,0
1967,0
1968,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1980,0
1981,0
1982,0
1984,0
1985,0
1987,0
1988,0
1989,0
1990,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2002,0
2003,0
2005,0
2006,0
2007,0
2008,1
2009,1
2011,0
2012,0
2013,1
2017,1
2018,0
2019,0
2020,0
2021,0
2022,1
2026,0
2030,1
2031,1
2032,0
2033,0
2035,0
2036,0
2038,0
2039,0
2041,0
2042,0
2043,0
2044,1
2045,0
2046,0
2047,0
2048,0
2049,0
2050,0
2052,0
2053,0
2054,0
2057,0
2058,0
2059,0
2060,0
2061,0
2062,0
2063,1
2064,0
2066,0
2067,0
2068,0
2069,0
2070,1
2071,0
2072,0
2074,0
2075,0
2076,0
2077,0
2080,0
2081,0
2082,0
2083,0
2084,0
2087,0
2089,0
2090,0
2091,1
2092,0
2096,0
2098,0
2101,0
2102,0
2103,1
2104,1
2105,0
2107,0
2108,1
2109,0
2110,0
2113,0
2114,0
2116,0
2117,0
2118,0
2119,0
2120,0
2121,0
2123,0
2124,0
2126,0
2127,0
2128,0
2129,0
2133,0
2134,0
2135,0
2138,0
2139,0
2140,0
2141,1
2145,0
2148,0
2149,0
2150,0
2151,0
2152,0
2154,0
2155,0
2156,0
2158,0
2163,0
2164,0
2165,0
2167,0
2169,0
2170,0
2171,0
2172,0
2173,0
2175,0
2176,0
2177,0
2178,0
2179,1
2182,0
2183,0
2184,1
2185,0
2187,0
2188,0
2189,1
2190,0
2193,0
2194,0
2195,0
2196,0
2197,0
2198,0
2201,0
2205,1
2206,0
2207,0
2209,0
2211,1
2212,0
2213,0
2216,0
2218,0
2221,0
2223,0
2225,1
2226,1
2229,0
2231,1
2233,0
2234,0
2235,1
2236,0
2238,0
2239,0
2241,0
2242,0
2243,0
2244,0
2245,1
2247,0
2248,0
2250,0
2251,0
2252,0
2253,0
2254,0
2255,0
2256,0
2257,0
2258,0
2259,1
2260,0
2261,0
2262,0
2263,0
2264,0
2265,0
2266,0
2267,0
2268,1
2269,0
2270,0
2273,0
2275,1
2278,1
2279,0
2280,0
2283,0
2284,0
2285,0
2286,1
2289,0
2290,0
2292,0
2293,0
2294,0
2295,0
2296,0
2297,0
2298,0
2300,0
2301,0
2302,0
2303,0
2304,0
2306,0
2307,0
2309,0
2310,0
2314,0
2315,0
2317,1
2318,0
2319,1
2320,0
2321,0
2322,0
2323,1
2324,0
2325,0
2327,0
2328,0
2330,0
2331,0
2332,1
2333,0
2334,0
2336,0
2338,0
2340,0
2341,0
2342,0
2343,0
2345,0
2346,1
2347,0
2348,0
2349,0
2350,0
2352,0
2354,0
2355,0
2356,0
2358,0
2359,0
2360,0
2361,0
2362,0
2363,0
2364,0
2365,0
2366,0
2367,0
2370,0
2371,0
2372,0
2374,0
2375,0
2377,0
2378,0
2380,0
2381,0
2382,0
2384,0
2385,1
2386,0
2387,1
2389,0
2390,0
2391,0
2392,1
2396,1
2397,0
2399,0
2401,0
2402,0
2403,0
2406,0
2407,0
2408,0
2409,0
2412,0
2413,1
2414,0
2416,1
2417,0
2418,0
2419,0
2420,0
2421,0
2422,0
2423,0
2424,0
2425,0
2426,1
2427,0
2428,0
2429,0
2430,0
2431,0
2432,0
2434,0
2435,0
2436,0
2438,0
2439,0
2440,0
2441,1
2442,0
2443,0
2444,0
2445,0
2446,0
2447,0
2448,0
2449,0
2450,0
2451,0
2452,0
2453,0
2454,0
2455,0
2456,0
2462,0
2463,0
2466,0
2467,0
2468,0
2470,0
2471,0
2472,0
2473,0
2474,0
2475,0
2476,0
2477,0
2478,0
2480,0
2481,0
2482,0
2483,1
2484,0
2485,0
2486,0
2487,0
2488,0
2489,0
2491,0
2492,0
2493,0
2494,0
2495,0
2496,0
2497,0
2498,0
2499,0
2502,1
2505,0
2506,1
2508,0
2509,0
2511,0
2512,0
2513,0
2514,0
2516,0
2518,0
2519,0
2523,0
2524,0
2526,0
2527,0
2528,0
2529,0
2530,0
2532,0
2534,0
2538,0
2541,0
2542,0
2543,0
2545,0
2546,1
2547,0
2548,0
2549,0
2551,0
2552,0
2553,1
2554,0
2555,0
2557,0
2558,0
2560,1
2561,0
2562,1
2563,0
2564,0
2566,0
2570,0
2571,0
2573,0
2574,0
2575,0
2576,0
2577,0
2579,0
2580,0
2581,0
2582,0
2585,0
2586,0
2587,0
2589,0
2590,0
2591,0
2592,0
2594,0
2595,0
2597,0
2598,0
2599,0
2600,0
2601,0
2603,0
2604,0
2605,0
2606,0
2607,0
2608,0
2609,0
2610,0
2612,0
2613,0
2615,0
2616,0
2619,0
2620,0
2621,1
2622,0
2623,0
2624,1
2625,0
2626,0
2628,0
2629,0
2631,0
2633,0
2634,0
2635,0
2636,0
2638,0
2639,0
2640,0
2641,0
2643,0
2644,0
2646,1
2647,0
2651,1
2653,0
2654,0
2655,0
2656,0
2658,0
2659,0
2660,0
2661,0
2667,0
2668,0
2669,0
2670,0
2671,0
2672,0
2673,0
2674,0
2675,0
2676,0
2677,0
2678,0
2679,0
2680,0
2681,0
2682,0
2683,0
2684,0
2685,0
2686,0
2687,0
2688,0
2689,0
2690,0
2692,0
2693,0
2694,0
2695,0
2696,0
2698,1
2699,0
2701,1
2702,0
2703,0
2704,0
2705,0
2706,0
2707,0
2710,0
2711,0
2712,0
2713,0
2714,0
2715,0
2716,0
2718,0
2719,0
2721,0
2722,0
2723,0
2724,0
2725,0
2726,0
2727,0
2728,0
2729,0
2730,0
2731,0
2732,0
2733,0
2734,0
2735,0
2736,0
2739,1
2740,0
2741,0
2742,0
2743,1
2744,0
2745,0
2748,0
2749,0
2750,0
2752,0
2753,0
2754,0
2755,0
2756,1
2757,0
2758,0
2759,0
2760,0
2762,0
2764,0
2765,0
2766,0
2767,0
2768,0
2771,0
2772,0
2773,0
2774,0
2775,0
2776,0
2777,0
2779,0
2781,1
2783,0
2785,1
2791,0
2792,0
2793,0
2794,0
2795,0
2796,0
2797,0
2801,1
2802,0
2804,0
2805,0
2807,0
2808,0
2809,0
2811,0
2812,0
2813,0
2814,0
2815,0
2816,0
2817,1
2818,0
2819,0
2822,0
2823,0
2824,0
2825,0
2826,0
2827,0
2828,0
2831,0
2832,0
2833,0
2834,0
2835,0
2836,0
2837,0
2838,0
2839,0
2840,1
2841,0
2842,0
2843,0
2844,0
2845,0
2846,0
2847,0
2848,0
2849,0
2851,0
2852,0
2853,0
2854,0
2855,0
2856,0
2857,0
2859,0
2860,0
2861,0
2862,0
2863,1
2864,0
2865,0
2866,0
2867,0
2868,0
2869,0
2871,0
2873,0
2875,0
2877,0
2878,1
2880,0
2881,0
2882,0
2883,0
2884,0
2885,0
2886,0
2887,0
2888,0
2889,0
2890,0
2893,0
2894,0
2895,0
2898,0
2899,0
2900,0
2901,0
2902,0
2903,0
2904,0
2905,0
2906,0
2907,0
2908,0
2909,1
2910,0
2912,0
2913,0
2914,0
2917,1
2918,1
2919,0
2920,0
2921,0
2924,0
2925,1
2926,0
2928,0
2929,0
2930,0
2931,0
2932,0
2933,0
2934,1
2935,0
2937,0
2938,0
2939,0
2941,0
2942,0
2943,0
2944,0
2945,1
2946,0
2947,0
2949,0
2951,0
2952,0
2953,0
2954,0
2956,0
2957,0
2958,0
2959,0
2960,0
2961,0
2962,0
2963,0
2964,0
2965,0
2966,0
2967,0
2968,0
2969,0
2970,0
2971,0
2972,0
2973,0
2975,0
2976,0
2977,0
2978,0
2979,0
2981,0
2982,0
2983,0
2984,0
2985,0
2986,0
2987,0
2988,1
2989,0
2990,0
2991,0
2992,1
2994,0
2995,1
2996,0
2998,0
2999,0
3000,0
3001,0
3002,0
3004,0
3005,0
3006,0
3007,0
3009,0
3010,1
3011,0
3012,0
3013,0
3014,0
3015,0
3016,1
3017,0
3018,0
3019,0
3020,0
3022,0
3023,0
3024,0
3025,0
3026,0
3027,0
3028,0
3029,0
3031,0
3032,0
3033,0
3034,0
3035,0
3036,0
3038,0
3039,0
3040,0
3042,0
3043,0
3044,0
3045,0
3046,0
3047,0
3048,0
3049,0
3050,0
3051,0
3052,0
3053,0
3054,0
3056,0
3057,0
3059,1
3060,0
3061,0
3062,0
3063,0
3064,0
3065,0
3066,0
3067,1
3068,0
3069,0
3070,0
3071,0
3072,0
3073,0
3074,0
3076,0
3077,0
3078,0
3079,0
3081,0
3082,0
3083,0
3084,0
3085,0
3086,0
3087,0
3088,0
3089,0
3090,0
3091,0
3093,0
3094,0
3095,0
3096,0
3097,0
3098,0
3099,0
3100,1
3101,0
3104,0
3107,1
3108,0
3110,0
3111,0
3112,0
3114,1
3115,1
3116,0
3117,0
3118,0
3119,0
3120,0
3122,0
3123,0
3124,0
3127,0
3129,0
3131,1
3132,0
3133,0
3136,0
3137,0
3138,0
3139,0
3140,0
3141,1
3142,1
3143,0
3144,0
3145,0
3146,0
3147,0
3148,0
3149,0
3151,0
3152,0
3154,0
3155,0
3159,0
3160,0
3162,0
3164,0
3167,0
3168,0
3169,0
3170,0
3171,0
3172,0
3173,0
3175,0
3176,1
3177,0
3178,0
3179,0
3180,0
3181,0
3182,0
3183,0
3184,0
3185,0
3186,0
3187,0
3188,0
3189,0
3190,0
3191,0
3192,0
3193,1
3198,0
3199,0
3200,0
3204,0
3205,0
3207,0
3211,1
3214,0
3215,0
3217,0
3222,0
3223,0
3224,0
3227,0
3229,0
3230,0
3231,0
3234,0
3236,0
3237,0
3241,0
3242,0
3245,0
3246,0
3247,0
3248,1
3249,0
3250,0
3253,0
3254,0
3259,0
3263,0
3265,0
3266,0
3273,0
3277,0
3278,0
3281,0
3287,1
3288,0
3292,0
3295,0
3296,0
3301,0
3302,0
3303,0
3305,0
3308,0
3310,0
3312,0
3315,0
3318,0
3319,0
3322,1
3324,0
3325,0
3328,0
3329,0
3330,0
3332,0
3334,0
3335,0
3336,0
3337,0
3338,0
3341,0
3346,0
3348,0
3349,0
3351,0
3353,1
3354,0
3355,1
3357,0
3358,0
3360,0
3362,0
3364,0
3367,0
3370,0
3371,0
3375,1
3378,0
3379,0
3381,0
3382,0
3383,0
3387,0
3388,0
3392,0
3395,0
3399,0
3400,0
3401,0
3402,0
3404,0
3405,0
3408,0
3416,0
3417,0
3420,0
3422,1
3425,0
3427,0
3429,0
3430,0
3433,0
3434,1
3439,0
3440,0
3441,0
3442,0
3443,0
3447,0
3450,0
3454,0
3455,0
3457,0
3458,0
3462,0
3463,1
3464,0
3465,1
3467,0
3469,0
3470,0
3472,0
3473,0
3474,1
3477,0
3478,0
3479,0
3480,0
3483,0
3484,0
3486,0
3487,0
3492,1
3494,0
3495,0
3497,0
3498,0
3500,0
3502,0
3505,0
3507,1
3512,1
3514,0
3515,0
3519,0
3520,1
3523,0
3530,0
3532,0
3533,0
3534,1
3535,0
3541,0
3546,0
3547,0
3549,1
3550,0
3551,0
3553,0
3559,0
3560,0
3562,0
3568,1
3569,0
3570,0
3571,0
3577,0
3578,1
3580,0
3581,0
3583,0
3586,0
3587,0
3588,0
3593,0
3595,1
3600,0
3601,0
3602,0
3604,0
3606,0
3608,0
3609,0
3612,0
3613,1
3614,0
3615,0
3617,0
3618,0
3619,0
3623,0
3625,0
3627,0
3632,0
3633,0
3634,0
3635,0
3637,1
3638,0
3639,0
3641,0
3644,0
3645,0
3647,0
3649,0
3650,0
3652,0
3653,0
3656,0
3659,0
3660,0
3661,0
3663,0
3665,0
3669,0
3676,0
3680,0
3686,0
3688,0
3696,0
3697,1
3698,1
3699,0
3701,0
3702,0
3708,0
3709,0
3715,0
3716,0
3719,1
3720,0
3721,0
3722,1
3723,0
3724,0
3726,0
3728,0
3729,0
3730,1
3731,0
3734,0
3735,1
3740,0
3744,0
3745,0
3747,0
3749,0
3752,1
3755,1
3756,0
3758,1
3759,0
3760,0
3762,0
3765,0
3767,0
3768,0
3771,0
3775,0
3777,0
3784,1
3789,1
3791,0
3795,0
3796,0
3797,1
3798,1
3799,0
3801,0
3802,0
3805,0
3806,0
3810,0
3812,0
3813,0
3814,0
3816,0
3820,1
3821,1
3822,0
3824,0
3825,0
3831,0
3832,0
3834,0
3838,0
3840,0
3842,0
3843,0
3844,0
3845,0
3847,0
3848,0
3849,0
3850,0
3851,0
3852,0
3853,0
3854,0
3856,0
3858,0
3859,0
3862,0
3864,0
3867,0
3869,0
3872,1
3875,0
3876,0
3878,0
3885,0
3886,0
3888,0
3890,0
3892,0
3896,0
3897,0
3898,0
3900,0
3901,1
3903,0
3912,0
3913,1
3914,0
3918,0
3920,0
3921,0
3922,0
3927,0
3929,0
3935,1
3936,1
3938,0
3939,0
3942,0
3947,0
3952,0
3953,0
3955,0
3957,0
3959,0
3961,0
3964,0
3969,0
3971,0
3972,0
3973,0
3974,0
3975,0
3976,0
3977,0
3978,0
3980,0
3981,0
3988,0
3990,0
3992,0
3994,0
3995,0
3997,0
3999,0
4001,0
4007,0
4008,0
4009,0
4012,0
4013,1
4016,0
4020,0
4021,0
4023,0
4024,0
4026,0
4027,0
4028,0
4031,0
4034,0
4037,0
4038,0
4039,0
4041,0
4043,0
4046,0
4047,0
4048,0
4053,0
4060,0
4061,0
4062,0
4064,0
4069,0
4070,0
4072,0
4073,0
4075,0
4078,1
4079,0
4080,0
4081,0
4082,0
4083,0
4085,0
4087,0
4088,0
4089,0
4090,0
4092,0
4094,0
4099,0
4102,0
4103,0
4105,1
4106,0
4109,0
4111,0
4112,0
4113,0
4114,0
4115,0
4118,0
4119,0
4127,1
4128,0
4134,0
4137,0
4138,0
4140,0
4141,0
4142,0
4143,0
4145,0
4146,0
4149,1
4151,0
4154,0
4155,0
4156,1
4159,0
4162,0
4163,0
4167,0
4168,0
4169,0
4170,1
4171,0
4172,1
4173,0
4174,0
4176,0
4178,0
4179,0
4180,0
4185,0
4187,0
4188,0
4190,0
4191,0
4192,0
4194,0
4196,0
4198,0
4199,0
4202,0
4204,0
4205,0
4206,0
4208,0
4210,0
4212,0
4213,0
4214,0
4216,0
4218,1
4220,0
4221,0
4222,0
4223,0
4227,0
4229,0
4231,0
4234,0
4236,1
4237,1
4244,1
4245,0
4246,0
4255,0
4257,0
4258,0
4260,0
4261,0
4262,0
4263,1
4264,0
4266,0
4268,0
4269,0
4273,0
4275,0
4277,0
4278,0
4283,0
4284,0
4285,1
4286,0
4287,0
4289,0
4290,0
4291,0
4292,0
4293,0
4294,0
4295,0
4297,0
4298,0
4299,0
4301,0
4302,0
4303,0
4304,0
4306,0
4309,0
4311,0
4312,0
4315,0
4320,0
4322,0
4323,0
4324,1
4325,0
4327,0
4328,0
4330,1
4333,0
4336,0
4340,0
4344,0
4345,0
4346,0
4347,0
4349,0
4350,0
4353,0
4355,0
4360,1
4362,0
4368,0
4369,0
4370,0
4371,1
4372,0
4374,0
4375,1
4379,1
4380,1
4381,0
4382,0
4383,0
4384,0
4387,0
4390,0
4391,0
4392,0
4393,0
4396,0
4397,0
4398,0
4400,0
4401,1
4402,0
4403,0
4405,0
4406,0
4407,1
4408,0
4410,0
4411,0
4412,0
4414,0
4415,0
4416,0
4424,0
4425,0
4426,0
4427,0
4428,1
4429,0
4431,0
4434,0
4435,0
4436,0
4439,0
4441,0
4445,0
4447,0
4448,0
4449,0
4452,1
4453,0
4454,0
4456,0
4457,0
4459,0
4462,0
4464,0
4468,0
4471,0
4475,0
4476,0
4477,0
4482,1
4490,0
4492,0
4497,0
4500,0
4502,0
4503,0
4504,0
4506,0
4507,0
4512,0
4513,0
4514,0
4516,0
4517,0
4518,0
4519,0
4520,0
4523,0
4524,0
4525,0
4526,0
4527,0
4528,0
4530,0
4533,1
4534,1
4537,1
4538,0
4539,1
4541,1
4542,0
4545,0
4546,0
4547,0
4548,0
4550,0
4551,0
4553,0
4555,0
4556,0
4558,1
4559,0
4560,0
4564,0
4566,0
4567,0
4570,0
4571,0
4573,1
4574,0
4575,0
4578,0
4579,0
4580,0
4581,0
4583,0
4584,0
4586,0
4588,0
4589,0
4590,0
4592,0
4593,0
4594,0
4596,0
4597,1
4599,0
4601,0
4603,0
4605,0
4607,0
4608,0
4609,0
4610,0
4614,0
4615,1
4616,0
4617,0
4619,0
4621,0
4622,0
4625,0
4626,0
4627,0
4628,0
4630,1
4631,0
4632,0
4633,0
4634,0
4636,0
4637,0
4638,0
4639,0
4642,0
4644,0
4645,0
4646,0
4648,0
4649,0
4650,1
4651,0
4652,1
4655,0
4656,0
4657,0
4658,0
4659,0
4660,0
4661,0
4662,0
4663,0
4665,0
4666,0
4667,0
4669,0
4671,0
4672,0
4673,0
4674,0
4675,0
4677,0
4679,0
4684,0
4687,0
4688,0
4691,0
4693,0
4694,0
4695,0
4696,0
4697,0
4699,0
4700,0
4702,0
4704,0
4705,0
4708,0
4711,0
4712,0
4714,0
4717,0
4718,1
4720,0
4721,0
4722,0
4723,0
4724,0
4725,0
4726,0
4727,0
4731,0
4732,0
4733,0
4735,1
4736,0
4739,0
4740,1
4742,1
4743,0
4744,1
4745,0
4749,0
4750,0
4751,0
4753,0
4754,1
4756,1
4758,0
4759,0
4760,0
4761,0
4762,0
4764,0
4768,0
4769,0
4770,0
4771,0
4772,0
4774,0
4775,0
4776,0
4778,0
4779,0
4781,0
4783,0
4785,0
4787,0
4788,0
4789,0
4790,0
4792,0
4795,0
4796,0
4797,0
4798,1
4801,0
4803,0
4805,0
4806,1
4807,0
4808,0
4809,0
4811,0
4812,1
4814,0
4816,0
4817,0
4820,0
4822,0
4823,0
4824,0
4825,0
4827,0
4829,0
4833,1
4835,0
4836,0
4838,0
4839,0
4843,0
4844,0
4845,0
4848,1
4850,0
4851,0
4852,0
4853,0
4854,0
4855,0
4856,0
4857,0
4858,0
4859,0
4860,0
4861,0
4863,0
4864,0
4865,1
4866,0
4867,0
4868,0
4869,0
4872,0
4873,0
4876,1
4877,0
4879,0
4880,0
4881,0
4883,0
4884,0
4885,0
4886,0
4887,0
4888,1
4889,0
4890,0
4892,0
4894,1
4896,0
4897,0
4899,0
4901,0
4902,0
4904,0
4905,0
4907,0
4908,0
4909,0
4912,0
4913,0
4914,0
4915,0
4916,0
4919,0
4920,0
4921,0
4922,0
4923,0
4924,0
4926,0
4927,0
4928,0
4930,0
4931,0
4933,0
4934,0
4936,0
4937,0
4938,0
4942,0
4943,0
4944,0
4946,0
4947,0
4949,0
4950,0
4951,1
4953,0
4954,0
4955,0
4956,0
4957,0
4958,0
4959,0
4962,0
4963,0
4964,1
4966,1
4967,0
4968,0
4969,0
4970,0
4972,0
4973,0
4975,1
4977,0
4978,0
4980,0
4981,1
4982,0
4984,0
4985,0
4986,0
4988,0
4991,0
4992,0
4993,0
4994,0
4996,0
4997,0
4998,0
4999,0
5000,0
5001,0
5002,0
5003,0
5005,0
5006,0
5010,0
5013,0
5014,0
5015,0
5016,0
5017,0
5018,0
5019,0
5020,0
5021,0
5022,0
5024,0
5025,0
5026,0
5027,0
5028,0
5029,0
5030,0
5032,0
5033,0
5034,0
5035,0
5036,0
5037,0
5039,1
5040,1
5043,0
5044,0
5045,0
5047,0
5048,0
5049,0
5050,0
5051,0
5053,0
5054,0
5056,0
5057,0
5058,0
5064,1
5065,1
5066,0
5067,0
5069,0
5070,0
5071,0
5072,0
5073,0
5074,0
5075,0
5076,1
5077,0
5078,0
5080,0
5081,0
5082,0
5083,0
